,Name,Rating,Genre,Release Date,Runtime,Director,Url
0,Spider-Man: No Way Home,83,"Action,Adventure,Science Fiction",12/17/2021,2h 28m,Jon Watts,https://www.themoviedb.org/movie/634649
1,Blacklight,54,"Action,Thriller",02/10/2022,1h 44m,Mark Williams,https://www.themoviedb.org/movie/823625
2,The Batman,80,"Crime,Mystery,Thriller",03/04/2022,2h 56m,Matt Reeves,https://www.themoviedb.org/movie/414906
3,No Exit,65,"Horror,Thriller",02/25/2022,1h 36m,Damien Power,https://www.themoviedb.org/movie/833425
4,The Commando,68,"Action,Crime,Thriller",01/07/2022,1h 33m,Asif Akbar,https://www.themoviedb.org/movie/753232
5,The King's Man,70,"Action,Adventure,Thriller,War",01/14/2022,2h 11m,Matthew Vaughn,https://www.themoviedb.org/movie/476669
6,Scream,68,"Horror,Mystery,Thriller",01/14/2022,1h 54m,Matt Bettinelli-Olpin,https://www.themoviedb.org/movie/646385
7,My Hero Academia: World Heroes' Mission,73,"Animation,Action,Fantasy,Adventure",08/06/2021,1h 45m,Kenji Nagasaki,https://www.themoviedb.org/movie/768744
8,Nightmare Alley,71,"Crime,Drama,Thriller",12/03/2021,2h 30m,Guillermo del Toro,https://www.themoviedb.org/movie/597208
9,The Requin,48,Thriller,01/28/2022,1h 29m,Lê Văn Kiệt,https://www.themoviedb.org/movie/803114
10,Sing 2,82,"Animation,Comedy,Family,Music",12/22/2021,1h 50m,Garth Jennings,https://www.themoviedb.org/movie/438695
11,Pursuit,59,"Action,Crime,Thriller",02/18/2022,1h 32m,Brian Skiba,https://www.themoviedb.org/movie/871799
12,The Jack in the Box: Awakening,56,Horror,01/03/2022,1h 29m,Lawrence Fowler,https://www.themoviedb.org/movie/801071
13,Last Man Down,63,"Action,Thriller",11/01/2021,1h 27m,Fansu Njie,https://www.themoviedb.org/movie/860623
14,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,84,"Animation,Action,Adventure,Fantasy",08/13/2021,1h 57m,Haruo Sotozaki,https://www.themoviedb.org/movie/635302
15,Uncharted,71,"Action,Adventure",02/18/2022,1h 56m,Ruben Fleischer,https://www.themoviedb.org/movie/335787
16,The 355,61,"Action,Thriller",01/07/2022,2h 2m,Simon Kinberg,https://www.themoviedb.org/movie/522016
17,Marry Me,69,"Romance,Comedy,Music",02/11/2022,1h 52m,Kat Coiro,https://www.themoviedb.org/movie/615904
18,American Siege,53,"Action,Thriller,Crime,Drama",03/31/2022,1h 30m,Edward Drake,https://www.themoviedb.org/movie/766907
19,The Hunting,54,Horror,01/21/2022,1h 31m,Mark Andrew Hamer,https://www.themoviedb.org/movie/870671
20,One Shot,68,Action,01/21/2022,1h 37m,James Nunn,https://www.themoviedb.org/movie/811592
21,Tom and Jerry: Cowboy Up!,71,"Animation,Comedy,Family,Western",01/25/2022,1h 15m,Darrell Van Citters,https://www.themoviedb.org/movie/892153
22,Fate/Grand Order Final Singularity – Grand Temple of Time: Solomon,70,"Animation,Action,Adventure,Fantasy",07/30/2021,1h 34m,Toshifumi Akai,https://www.themoviedb.org/movie/829920
23,Sonic the Hedgehog 2,NR,"Action,Science Fiction,Comedy,Family",04/08/2022,2h,Jeff Fowler,https://www.themoviedb.org/movie/675353
24,Queen of Spades,64,Horror,08/19/2021,1h 31m,Patrick White,https://www.themoviedb.org/movie/829358
25,PAW Patrol: The Movie,75,"Animation,Family,Adventure,Comedy",08/20/2021,1h 26m,Cal Brunker,https://www.themoviedb.org/movie/675445
26,Gold,66,"Thriller,Action",01/13/2022,1h 37m,Anthony Hayes,https://www.themoviedb.org/movie/760926
27,Deathstroke: Knights & Dragons - The Movie,69,"Animation,Action,Adventure,Science Fiction",08/04/2020,1h 27m,Sung Jin Ahn,https://www.themoviedb.org/movie/703771
28,Dark Spell,67,"Romance,Horror,Thriller",02/11/2021,1h 32m,Svyatoslav Podgaevsky,https://www.themoviedb.org/movie/633802
29,The Last Warrior: Root of Evil,71,"Fantasy,Adventure,Comedy",01/01/2021,2h,Dmitriy Dyachenko,https://www.themoviedb.org/movie/589754
30,Moonfall,59,"Action,Adventure,Science Fiction",02/04/2022,2h 10m,Roland Emmerich,https://www.themoviedb.org/movie/406759
31,"Sex, Shame and Tears 2",20,"Comedy,Drama",02/04/2022,1h 58m,Alonso Iñiguez,https://www.themoviedb.org/movie/930701
32,Laura y el misterio del asesino inesperado,72,"TV Movie,Mystery,Thriller,Comedy",01/13/2022,1h 30m,Pablo Guerrero,https://www.themoviedb.org/movie/922885
33,Infinite,68,"Science Fiction,Action,Thriller",09/09/2021,1h 46m,Antoine Fuqua,https://www.themoviedb.org/movie/581726
34,House of Gucci,68,"Drama,Crime,Thriller",11/24/2021,2h 38m,Ridley Scott,https://www.themoviedb.org/movie/644495
35,Paranormal Activity: Next of Kin,65,"Horror,Mystery,Thriller",10/29/2021,1h 38m,William Eubank,https://www.themoviedb.org/movie/609972
36,The Exorcism of God,57,Horror,02/10/2022,1h 38m,Alejandro Hidalgo,https://www.themoviedb.org/movie/836225
37,Miraculous World: Shanghai – The Legend of Ladydragon,79,"Animation,Comedy,Family,Adventure",05/15/2021,52m,Thomas Astruc,https://www.themoviedb.org/movie/726684
38,The Bad Guys,NR,"Animation,Comedy,Action,Family,Crime",04/22/2022,1h 40m,Pierre Perifel,https://www.themoviedb.org/movie/629542
39,Dog,78,"Drama,Comedy",02/18/2022,1h 41m,Channing Tatum,https://www.themoviedb.org/movie/626735
40,Survive the Game,58,"Action,Thriller,Crime",10/08/2021,1h 37m,James Cullen Bressack,https://www.themoviedb.org/movie/787310
41,Fortress,63,"Crime,Action,Thriller",12/17/2021,1h 40m,James Cullen Bressack,https://www.themoviedb.org/movie/826749
42,"Miraculous World: New York, United HeroeZ",83,"Animation,Family,Comedy,Adventure,TV Movie",11/21/2020,55m,Thomas Astruc,https://www.themoviedb.org/movie/755812
43,Meander,61,"Horror,Science Fiction,Drama,Thriller",05/26/2021,1h 31m,Mathieu Turi,https://www.themoviedb.org/movie/523936
44,Zeros and Ones,53,"Thriller,War",11/19/2021,1h 25m,Abel Ferrara,https://www.themoviedb.org/movie/762433
45,Tarumama,51,"Horror,Drama",07/29/2021,1h 30m,Andres Beltran,https://www.themoviedb.org/movie/775943
46,Exploits of a Young Don Juan,55,"Comedy,Drama",03/11/1987,1h 35m,Gianfranco Mingozzi,https://www.themoviedb.org/movie/81774
47,Gone Mom: The Disappearance of Jennifer Dulos,78,"TV Movie,Thriller,Crime",11/24/2021,1h 28m,Gail Harvey,https://www.themoviedb.org/movie/831223
48,Son,60,"Horror,Thriller",08/06/2021,1h 38m,Ivan Kavanagh,https://www.themoviedb.org/movie/754934
49,Dragon Fury,62,"Horror,Fantasy,Mystery",06/15/2021,1h 28m,Scott Jeffrey,https://www.themoviedb.org/movie/839436
50,Ripper Untold,66,Horror,06/28/2021,1h 25m,Steven Lawson,https://www.themoviedb.org/movie/820511
51,Run & Gun,49,"Action,Thriller",01/11/2022,1h 36m,Christopher Borrelli,https://www.themoviedb.org/movie/910596
52,Naruto Shippuden the Movie,72,"Animation,Action,Fantasy",08/04/2007,1h 34m,Hajime Kamegaki,https://www.themoviedb.org/movie/20982
53,Crazy Fist,73,Action,05/06/2021,1h 37m,Qing Guo,https://www.themoviedb.org/movie/859041
54,Time Is Up,62,"Romance,Drama",09/09/2021,1h 48m,Elisa Amoruso,https://www.themoviedb.org/movie/763148
55,Hacksaw Ridge,82,"Drama,History,War",11/04/2016,2h 19m,Mel Gibson,https://www.themoviedb.org/movie/324786
56,The Deep House,65,Horror,06/30/2021,1h 25m,Julien Maury,https://www.themoviedb.org/movie/672582
57,Ava,60,Drama,06/21/2017,1h 46m,Léa Mysius,https://www.themoviedb.org/movie/453354
58,Dragon Ball Z: Resurrection 'F',68,"Action,Animation,Science Fiction",04/18/2015,1h 33m,Tadayoshi Yamamuro,https://www.themoviedb.org/movie/303857
59,The Last: Naruto the Movie,79,"Action,Romance,Animation",12/06/2014,1h 54m,Tsuneo Kobayashi,https://www.themoviedb.org/movie/317442
60,Motherly,72,"Thriller,Horror",09/21/2021,1h 30m,Craig David Wallace,https://www.themoviedb.org/movie/768447
61,Gunpowder Milkshake,64,"Action,Crime,Thriller",07/14/2021,1h 54m,Navot Papushado,https://www.themoviedb.org/movie/574060
62,Demonic,48,"Horror,Thriller",08/20/2021,1h 44m,Neill Blomkamp,https://www.themoviedb.org/movie/774021
63,Boruto: Naruto the Movie,77,"Animation,Action,Comedy",08/07/2015,1h 35m,Hiroyuki Yamashita,https://www.themoviedb.org/movie/347201
64,Curious George: Cape Ahoy,35,"Animation,Adventure,Comedy",09/30/2021,1h 28m,Doug Murphy,https://www.themoviedb.org/movie/918832
65,Matando Cabos 2: La Máscara del Máscara,78,"Action,Comedy,Adventure",10/01/2021,1h 42m,Alejandro Lozano,https://www.themoviedb.org/movie/772436
66,Witch Hunt,72,"Fantasy,Horror,Thriller,Drama",10/01/2021,1h 32m,Elle Callahan,https://www.themoviedb.org/movie/670429
67,Digimon Adventure: Last Evolution Kizuna,78,"Animation,Action,Thriller,Adventure,Fantasy",02/21/2020,1h 34m,Tomohisa Taguchi,https://www.themoviedb.org/movie/571265
68,Wild Indian,64,"Crime,Drama,Thriller",12/09/2021,1h 30m,Lyle Mitchell Corbine Jr.,https://www.themoviedb.org/movie/656991
69,After Ever Happy,NR,Romance,08/25/2022,1h 59m,Castille Landon,https://www.themoviedb.org/movie/744276
70,Phobias,54,"Horror,Thriller",02/28/2021,1h 25m,Chris von Hoffmann,https://www.themoviedb.org/movie/793967
71,Sator,54,Horror,07/21/2019,1h 25m,Jordan Graham,https://www.themoviedb.org/movie/611651
