Company Name,Experience,Job Location,Job Description,Key Skills,Post Date,Job Link
Surya Informatics Solutions Pvt. Ltd.,0 - 3 yrs,Chennai,"POSITION: Python Developer ELIGIBILITY: FRESHERS Your RoleUnderstand requirements and participate in project road map discussions in order to design ,  estimate ,  and deliver... More Details","python  ,  web technologies  ,  linux  ,  mobile  ,  mysql  ,  angularjs  ,  javascript",Posted 6 days ago,https://www.timesjobs.com/job-detail/python-surya-informatics-solutions-pvt-ltd-chennai-0-to-3-yrs-jobid-UVlLes58wutzpSvf__PLUS__uAgZw==&source=srp
Pure Tech Codex Private Limited,2 - 3 yrs,Pune,"Job Description: 2 to 3 Years experience in Python.Expert in Python ,  with knowledge of at least one Python web framework  Flask ,  Django etc.Expert in server programming.Go... More Details","rest  ,  python  ,  database  ,  django  ,  debugging  ,  mongodb",Posted few days ago,https://www.timesjobs.com/job-detail/python-pure-tech-codex-private-limited-pune-2-to-3-yrs-jobid-OHwfF0d6EhNzpSvf__PLUS__uAgZw==&source=srp
"Best Infosystems Ltd.
     (More Jobs)",5 - 7 yrs,(More Jobs) ,Urgent Requirement_PYTHON_Hyderabad_Full-timeJob title : PYTHONJob type : Full-timeLocation : HyderabadSkills Required : PythonExperience : 5 to 7 Years Job Description: What ... More Details,"PYTHON  ,  Azure   ,  ML  ,  AFRS  ,  Cognitive   ,  Data Lake  ,  Databricks  ,  Data Factory  ,  Synapse   ,  Analytics  ,  SQL  ,  EventHub   ,  IoT   ,  Apache   ,  Spark   ,  Machine Learning  ,  Databrick  ,  Docker  ,  RedHat",Posted a month ago,https://www.timesjobs.com/job-detail/python-best-infosystems-ltd-hyderabad-secunderabad-5-to-7-yrs-jobid-__SLASH__J0fFSJhFspzpSvf__PLUS__uAgZw==&source=srp
Gemini Solutions,4 - 7 yrs,Gurgaon,4  Years GurgaonB.TechRequired Skills 4   years of software quality assurance experienceExperience on creating Framework For Test Automation.Good knowledge of Python Scripting... More Details,"python  ,  mobile  ,  svn  ,  nosql  ,  python scripting  ,  git  ,  api  ,  sql database",Posted few days ago,https://www.timesjobs.com/job-detail/qa-python-python-sdet-gemini-solutions-gurgaon-4-to-7-yrs-jobid-eGMLzwOk2QlzpSvf__PLUS__uAgZw==&source=srp
CONNECTING 2 WORK,0 - 3 yrs,Calicut/ Kozhikode,"Job Description We are looking for candidates with Proper  &  very good knowledge in Django  Flask framework  ( Mandatory )  , Coaching Experience  ( Mandatory )  Good Communi... More Details","rest  ,  python  ,  django  ,  mongodb",Posted 1 day ago,https://www.timesjobs.com/job-detail/python-trainer-connecting-2-work-calicut-kozhikode-0-to-3-yrs-jobid-kXED__PLUS__hcGqIpzpSvf__PLUS__uAgZw==&source=srp
"Techno wise
     (More Jobs)",3 - 8 yrs,(More Jobs) ,Responsibility: You will develop and extend the Turabit platform  Writing effective and scalable Python codes. Integrating user-facing elements with server-side logic.  Knowle... More Details,"""python""  ,  ""django""  ,  ""flask""  ,  ""NLP""  ,  ""python developer""",Posted few days ago,https://www.timesjobs.com/job-detail/python-developer-techno-wise-ahmedabad-3-to-8-yrs-jobid-dkw8knIhk5VzpSvf__PLUS__uAgZw==&source=srp
LAKSH HUMAN RESOURCE,1 - 3 yrs,Mumbai,"Powai ,  Mumbai Python Developer Experience : 1 to 3 yrs Skills Required : Job Summary : 1. Should have extensive knowledge of Python ,  Django frameowrk ,  REST APIs. 2. Shou... More Details","rest  ,  python  ,  django  ,  git",Posted 5 days ago,https://www.timesjobs.com/job-detail/python-developer-laksh-human-resource-mumbai-1-to-3-yrs-jobid-Bo79FYBR7__SLASH__5zpSvf__PLUS__uAgZw==&source=srp
"Vishal Consultants
     (More Jobs)",2 - 6 yrs,(More Jobs) ,"Experience and skills inDeveloping Python based enterprise applicationsUsing Python ,  JS ,  MariaDBWorking with a backend framework such as FrappeDeveloping python scripts an... More Details",PYTHON,Posted a month ago,https://www.timesjobs.com/job-detail/python-developer-vishal-consultants-indore-2-to-6-yrs-jobid-7__SLASH__lf__SLASH__PubXttzpSvf__PLUS__uAgZw==&source=srp
GS LAB,3 - 5 yrs,Pune,Experience Level : 3 to 5 yearsMust Have Skills : PythonNice To Have Skills : NetworkingRoles  &  responsibilities : Work with teams in all aspect of the automation framework ... More Details,"python  ,  linux  ,  debugging  ,  unix",Posted 6 days ago,https://www.timesjobs.com/job-detail/python-automation-gs-lab-pune-3-to-5-yrs-jobid-Gscx7G6MVLRzpSvf__PLUS__uAgZw==&source=srp
AtoZ Infoway LLP,2 - 5 yrs,Surat,"Python DeveloperNumber of Vacancy : 2 Applicant must have: 2  Years of Experience Expert in Python ,  with knowledge of at least one Python web framework as Django ,  Flask , ... More Details","python  ,  django  ,  html5  ,  javascript",Posted 1 day ago,https://www.timesjobs.com/job-detail/python-developer-atoz-infoway-llp-surat-2-to-5-yrs-jobid-bqowTHtXWfhzpSvf__PLUS__uAgZw==&source=srp
zf friedrichshafen -itc,2 - 4 yrs,Hyderabad/Secunderabad,Bachelors / Masters into Electronics or Embedded or any similar qualification with minimum 2 to 4 Years of Experiecne on Python Developement.candidate shall be proficient with... More Details,"python  ,  information technology  ,   test methodology",Posted 1 day ago,https://www.timesjobs.com/job-detail/python-developer-zf-friedrichshafen-itc-hyderabad-secunderabad-2-to-4-yrs-jobid-8MJINoIBTX1zpSvf__PLUS__uAgZw==&source=srp
quality thought,2 - 5 yrs,Hyderabad/Secunderabad,Job Description:Contribute to designing and building web apps and other internal toolsWrite clean and maintainable Python codeEngage with business development teams to drive t... More Details,"rest  ,  python  ,  django  ,  information technology",Posted 2 days ago,https://www.timesjobs.com/job-detail/python-django-quality-thought-hyderabad-secunderabad-2-to-5-yrs-jobid-A0WJWgCiZSRzpSvf__PLUS__uAgZw==&source=srp
DREAMAJAX TECHNOLOGIES,4 - 7 yrs,Bengaluru / Bangalore,"PYTHON DEVELOPER B.E  /  B.Tech  /  MCA  /  M.Sc. ,  or equivalent with 4  years of Strong Experience as a Python developerStrong hands on experience on Core Python ,  Django ... More Details","python  ,  django  ,  api  ,  sql  ,  nosql",Posted 2 days ago,https://www.timesjobs.com/job-detail/python-developer-dreamajax-technologies-bengaluru-bangalore-4-to-7-yrs-jobid-EWIVCDzRLKBzpSvf__PLUS__uAgZw==&source=srp
Ivan Infotech Pvt. Ltd.,2 - 5 yrs,Kolkata,"We are looking for a Python Developer to join our development team. Python Developer responsibilities include writing and testing code ,  debugging programs and integrating ap... More Details","rest  ,  python  ,  security  ,  debugging",Posted few days ago,https://www.timesjobs.com/job-detail/python-developer-ivan-infotech-pvt-ltd-kolkata-2-to-5-yrs-jobid-1h6sLaqbaBZzpSvf__PLUS__uAgZw==&source=srp
crescendo global,4 - 8 yrs,Gurgaon,"Creating and deploying RESTful service or writing data pipelines in any programming language.Working with Databases  ( Atleast one relational ,  and one NoSQL ) .REQUIREMENTS:... More Details","python  ,  devops  ,  big data  ,  nosql",Posted 3 days ago,https://www.timesjobs.com/job-detail/python-azure-crescendo-global-gurgaon-4-to-8-yrs-jobid-et9IZevATNxzpSvf__PLUS__uAgZw==&source=srp
TEAMPLUS STAFFING SOLUTION PVT. LTD.,6 - 9 yrs,Pune,IndustryITPrevious Work Experience6 -9 YRSSalaryAs Per IndustryJob FunctionTechnologySkill 4  years of Python scripting- need framework development experience  ( 3 / 5 )  3  y... More Details,"python  ,  python scripting  ,  shell scripting  ,  unix",Posted few days ago,https://www.timesjobs.com/job-detail/python-developer-teamplus-staffing-solution-pvt-ltd-pune-6-to-9-yrs-jobid-bjMgIT2lz6JzpSvf__PLUS__uAgZw==&source=srp
